card_id,creator,creator_raw,card_name_en,card_name_zh,suit_id,suit_ui,deck_id,deck_ui,risk_level,sharpness,tags,content_markdown_path,source.type,source.pack,source.original_file
damien_hirst__clinical_display,Damien Hirst,Damien Hirst,CLINICAL DISPLAY,临床陈列编译器,installation,展厅,clinical_display,临床陈列柜,0,0.5,creator:damien_hirst | deck:clinical_display | object:catalogue | object:form | output:certificate | output:wall_label | space:whitecube | suit:installation | theme:institution,cards/markdown/damien_hirst__clinical_display.md,pack,artist_cases_pack_v1,03_DamienHirst_CLINICAL_DISPLAY.md
mark_dion__field_cabinet,Mark Dion,Mark Dion,FIELD CABINET,田野收藏柜,installation,展厅,field_cabinet,田野收藏柜,0,0.45,creator:mark_dion | deck:field_cabinet | object:archive_box | output:index_card | space:whitecube | suit:installation | theme:institution | theme:memory,cards/markdown/mark_dion__field_cabinet.md,pack,artist_cases_pack_v4,06_Mark_Dion.md
yayoi_kusama__infinity_dot_room,Yayoi Kusama,Yayoi Kusama,INFINITY DOT ROOM,自我消融镜屋编译器,installation,展厅,infinity_dot_room,镜屋点阵,0,0.45,creator:yayoi_kusama | deck:infinity_dot_room | light:night | output:wall_label | space:whitecube | structure:repetition | suit:installation | theme:memory,cards/markdown/yayoi_kusama__infinity_dot_room.md,pack,artist_cases_pack_v1,05_YayoiKusama_INFINITY_DOT_ROOM.md
maurizio_cattelan__breaking_lot,Maurizio Cattelan,Maurizio Cattelan,BREAKING LOT,机构新闻包,installation,展厅,institutional_press_kit,机构新闻包,1,0.8,carrier:signage | creator:maurizio_cattelan | deck:institutional_press_kit | object:catalogue | object:certificate | output:certificate | space:whitecube | suit:installation | theme:institution,cards/markdown/maurizio_cattelan__breaking_lot.md,conversation,,
jeff_wall__lightbox_tableau,Jeff Wall,Jeff Wall,LIGHTBOX TABLEAU,灯箱叙事编译器,installation,展厅,lightbox_tableau,灯箱叙事,0,0.55,creator:jeff_wall | deck:lightbox_tableau | light:cinematic | output:call_sheet | output:wall_label | space:threshold | space:whitecube | suit:installation | theme:montage,cards/markdown/jeff_wall__lightbox_tableau.md,pack,artist_cases_pack_v1,01_JeffWall_LIGHTBOX_TABLEAU.md
aby_warburg__mnemosyne_panel,Aby Warburg,Aby Warburg,MNEMOSYNE PANEL,记忆图谱板,installation,展厅,mnemosyne_panel,记忆图谱板,0,0.55,creator:aby_warburg | deck:mnemosyne_panel | output:index_card | space:whitecube | structure:grid | structure:repetition | suit:installation | theme:memory,cards/markdown/aby_warburg__mnemosyne_panel.md,pack,artist_cases_pack_v4,08_Warburg.md
jenny_holzer__public_signal,Jenny Holzer,Jenny Holzer,PUBLIC SIGNAL,公共标语投放机,installation,展厅,public_signal,公共标语机,1,0.75,carrier:led | carrier:poster | carrier:projection | carrier:signage | creator:jenny_holzer | deck:public_signal | output:cue_sheet | suit:installation | theme:institution,cards/markdown/jenny_holzer__public_signal.md,conversation,,
gregory_crewdson__single_frame_movie_unit,Gregory Crewdson,Gregory Crewdson,SINGLE-FRAME MOVIE UNIT,单帧电影剧组,installation,展厅,single_frame_movie_unit,单帧剧组包,1,0.65,creator:gregory_crewdson | deck:single_frame_movie_unit | light:cinematic | light:night | output:call_sheet | space:threshold | suit:installation | theme:montage,cards/markdown/gregory_crewdson__single_frame_movie_unit.md,conversation,,
christo_jeanne_claude__wrap_project,Christo & Jeanne-Claude,Christo & Jeanne-Claude,WRAP PROJECT,临时公共工程编译器,installation,展厅,wrap_project,工程装置包,0,0.5,creator:christo_jeanne_claude | deck:wrap_project | object:form | output:certificate | output:wall_label | space:street | suit:installation | theme:institution,cards/markdown/christo_jeanne_claude__wrap_project.md,pack,artist_cases_pack_v2,01_ChristoJeanneClaude_WRAP_PROJECT.md
philip_lorca_dicorcia__flash_zone,Philip-Lorca diCorcia,Philip-Lorca diCorcia,FLASH ZONE,闪光剧场编译器,mechanism,拆机,flash_zone,闪光隔离区,1,0.65,creator:philip_lorca_dicorcia | deck:flash_zone | light:flash | output:board | risk:face_clear | space:street | suit:mechanism | theme:visibility,cards/markdown/philip_lorca_dicorcia__flash_zone.md,pack,artist_cases_pack_v2,04_PhilipLorcaDiCorcia_FLASH_ZONE.md
trevor_paglen__invisible_systems,Trevor Paglen,Trevor Paglen,INVISIBLE SYSTEMS,不可见系统显影,mechanism,拆机,invisible_systems,不可见系统板,1,0.75,creator:trevor_paglen | deck:invisible_systems | origin:screenshot | output:board | suit:mechanism | theme:institution | theme:visibility | ui:video_player,cards/markdown/trevor_paglen__invisible_systems.md,pack,artist_cases_pack_v4,04_Trevor_Paglen.md
andreas_gursky__mega_system_panorama,Andreas Gursky,Andreas Gursky,MEGA SYSTEM PANORAMA,巨幅系统全景,mechanism,拆机,panorama_zoom,全景放大窗,0,0.6,creator:andreas_gursky | deck:panorama_zoom | origin:photo | output:board | structure:panorama | structure:repetition | suit:mechanism | theme:institution,cards/markdown/andreas_gursky__mega_system_panorama.md,pack,image_creator_cases_pack_v1,05_Andreas_Gursky.md
harun_farocki__eye_machine_montage,Harun Farocki,Harun Farocki,EYE/MACHINE MONTAGE,双屏观看机制,mechanism,拆机,split_screen,双屏对照台,1,0.72,creator:harun_farocki | deck:split_screen | origin:screenshot | output:board | quality:compressed | suit:mechanism | theme:evidence | theme:institution | ui:video_player,cards/markdown/harun_farocki__eye_machine_montage.md,conversation,,
daido_moriyama__stray_eye,Daido Moriyama,森山大道,STRAY EYE,流浪犬视角,photo_grammar,摄影谱,are_bure_boke,粗粒散焦,0,0.6,creator:daido_moriyama | deck:are_bure_boke | light:night | quality:lowres | space:street | structure:sequence_potential | suit:photo_grammar | theme:memory,cards/markdown/daido_moriyama__stray_eye.md,pack,image_creator_cases_pack_v1,02_Daido_Moriyama.md
martin_parr__sunburnt_sociology,Martin Parr,Martin Parr,SUNBURNT SOCIOLOGY,饱和闪光社会学,photo_grammar,摄影谱,saturated_flash,饱和闪光,0,0.65,creator:martin_parr | deck:saturated_flash | light:flash | space:street | structure:sequence_potential | suit:photo_grammar | theme:satire,cards/markdown/martin_parr__sunburnt_sociology.md,pack,image_creator_cases_pack_v1,01_Martin_Parr.md
duane_michals__sequence_handwriting,Duane Michals,Duane Michals,SEQUENCE + HANDWRITING,叙事序列与手写句,photo_grammar,摄影谱,sequence_handwriting,手写序列,0,0.5,creator:duane_michals | deck:sequence_handwriting | light:night | origin:photo | output:dossier | structure:sequence_potential | suit:photo_grammar | theme:memory,cards/markdown/duane_michals__sequence_handwriting.md,pack,image_creator_cases_pack_v1,08_Duane_Michals.md
bernd_hilla_becher__typology_grid,Bernd & Hilla Becher,Bernd & Hilla Becher,TYPOLOGY GRID,工业类型学网格,photo_grammar,摄影谱,typology_grid,类型学网格,0,0.45,creator:bernd_hilla_becher | deck:typology_grid | origin:photo | output:index_card | structure:grid | structure:repetition | suit:photo_grammar | theme:institution,cards/markdown/bernd_hilla_becher__typology_grid.md,pack,artist_cases_pack_v4,07_Becher.md
alec_soth__river_road_ledger,Alec Soth,Alec Soth,RIVER ROAD LEDGER,路上田野编译器,roadbook,路书,road_ledger,路书账本,0,0.55,creator:alec_soth | deck:road_ledger | object:map | output:dossier | space:street | structure:sequence_potential | suit:roadbook | theme:memory,cards/markdown/alec_soth__river_road_ledger.md,pack,artist_cases_pack_v2,03_AlecSoth_RIVER_ROAD_LEDGER.md
adam_curtis__archive_cold_open,Adam Curtis,Adam Curtis,ARCHIVE COLD OPEN,无旁白档案蒙太奇,screening,放映,archive_montage,档案蒙太奇,1,0.7,creator:adam_curtis | deck:archive_montage | origin:screenshot | quality:compressed | structure:sequence_potential | suit:screening | theme:montage | ui:video_player,cards/markdown/adam_curtis__archive_cold_open.md,pack,artist_cases_pack_v4,03_Adam_Curtis.md
janet_cardiff__ear_cinema_walk,Janet Cardiff,Janet Cardiff,EAR-CINEMA WALK,耳机行走放映机,screening,放映,audio_walk,耳机行走谱,1,0.55,creator:janet_cardiff | deck:audio_walk | object:map | space:interior | space:street | structure:sequence_potential | suit:screening | theme:memory | theme:walk,cards/markdown/janet_cardiff__ear_cinema_walk.md,conversation,,
orson_welles__f_fake_essay_engine,Orson Welles,Orson Welles,F/FAKE ESSAY ENGINE,随笔电影机,screening,放映,essay_film,随笔电影台,0,0.65,creator:orson_welles | deck:essay_film | origin:screenshot | output:cue_sheet | quality:compressed | suit:screening | theme:institution | theme:montage,cards/markdown/orson_welles__f_fake_essay_engine.md,pack,artist_cases_pack_v4,14_Orson_Welles.md
nan_goldin__ballad_slideshow,Nan Goldin,Nan Goldin,BALLAD SLIDESHOW,幻灯片日记编译器,screening,放映,slideshow,幻灯放映,1,0.6,creator:nan_goldin | deck:slideshow | origin:photo | output:cue_sheet | space:blackbox | structure:sequence_potential | suit:screening | theme:memory,cards/markdown/nan_goldin__ballad_slideshow.md,pack,artist_cases_pack_v2,02_NanGoldin_BALLAD_SLIDESHOW.md
bi_gan__time_fog_noir,Bi Gan,毕赣,TIME FOG NOIR,时间雾·黑夜散文,screening,放映,still_storyboard,静帧分镜页,0,0.6,creator:bi_gan | deck:still_storyboard | light:night | output:cue_sheet | space:threshold | structure:sequence_potential | suit:screening | theme:montage,cards/markdown/bi_gan__time_fog_noir.md,pack,image_creator_cases_pack_v1,04_Bi_Gan.md
on_kawara__today_proof_of_life,On Kawara,On Kawara,TODAY/PROOF OF LIFE,日期证明板,serial,连载,date_board,日期证明板,0,0.35,creator:on_kawara | deck:date_board | object:map | origin:photo | output:receipt | structure:sequence_potential | suit:serial | theme:protocol,cards/markdown/on_kawara__today_proof_of_life.md,conversation,,
roman_opalka__infinite_count,Roman Opalka,Roman Opalka,INFINITE COUNT,无尽计数进度条,serial,连载,infinite_count,无尽计数,0,0.4,creator:roman_opalka | deck:infinite_count | output:dossier | structure:repetition | structure:sequence_potential | suit:serial | theme:protocol,cards/markdown/roman_opalka__infinite_count.md,pack,artist_cases_pack_v4,10_Roman_Opalka.md
tehching_hsieh__one_year_protocol,Tehching Hsieh,Tehching Hsieh,ONE-YEAR PROTOCOL,一年协议卡,serial,连载,one_year_protocol,年度协议,0,0.45,creator:tehching_hsieh | deck:one_year_protocol | object:form | output:checklist | structure:sequence_potential | suit:serial | theme:protocol,cards/markdown/tehching_hsieh__one_year_protocol.md,pack,artist_cases_pack_v4,09_Tehching_Hsieh.md
hunter_s_thompson__gonzo_bulletin,Hunter S. Thompson,Hunter S. Thompson,GONZO BULLETIN,贡佐快讯,skin,皮肤,gonzo_bulletin,贡佐快报,1,0.8,creator:hunter_s_thompson | deck:gonzo_bulletin | origin:photo | output:dossier | space:street | suit:skin | theme:satire,cards/markdown/hunter_s_thompson__gonzo_bulletin.md,pack,artist_cases_pack_v4,12_Hunter_S_Thompson.md
hunter_s_thompson__gonzo_dispatch,Hunter S. Thompson,Hunter S. Thompson,GONZO DISPATCH,贡佐派遣,skin,皮肤,gonzo_dispatch,贡佐外派稿,2,0.88,creator:hunter_s_thompson | deck:gonzo_dispatch | output:dossier | risk:sensitive_scene | suit:skin | theme:institution | theme:satire,cards/markdown/hunter_s_thompson__gonzo_dispatch.md,pack,creator_cases_pack_v5,05_Hunter_S_Thompson.md
toiletpaper__no_text_shock_image,TOILETPAPER,TOILETPAPER,NO-TEXT SHOCK IMAGE,无文章图像爆破,skin,皮肤,no_text_shock_spread,无文封面跨页,1,0.8,creator:toiletpaper | deck:no_text_shock_spread | light:flash | output:board | structure:repetition | suit:skin | theme:montage,cards/markdown/toiletpaper__no_text_shock_image.md,pack,image_creator_cases_pack_v1,03_TOILETPAPER.md
hito_steyerl__poor_image_compiler,Hito Steyerl,Hito Steyerl,POOR IMAGE COMPILER,平台皮肤编译器,skin,皮肤,platform_skin,平台皮肤页,1,0.78,creator:hito_steyerl | deck:platform_skin | origin:screenshot | output:receipt | quality:compressed | suit:skin | theme:circulation | theme:visibility | ui:social_feed | ui:timestamp_overlay | ui:watermark,cards/markdown/hito_steyerl__poor_image_compiler.md,conversation,,
the_onion__satire_front_page,The Onion,The Onion,SATIRE FRONT PAGE,讽刺头版机,skin,皮肤,satire_front_page,讽刺头版,1,0.8,carrier:signage | creator:the_onion | deck:satire_front_page | origin:screenshot | output:wall_label | suit:skin | theme:satire | ui:browser,cards/markdown/the_onion__satire_front_page.md,pack,creator_cases_pack_v5,04_The_Onion.md
amalia_ulman__scripted_feed,Amalia Ulman,Amalia Ulman,SCRIPTED FEED,演出时间线生成器,skin,皮肤,scripted_feed,演出时间线,2,0.85,creator:amalia_ulman | deck:scripted_feed | origin:photo | output:timeline | risk:face_clear | structure:sequence_potential | suit:skin | theme:performance | ui:social_feed,cards/markdown/amalia_ulman__scripted_feed.md,conversation,,
cindy_sherman__untitled_role,Cindy Sherman,Cindy Sherman,UNTITLED ROLE,电影剧照角色上身,skin,皮肤,still_role,剧照角色页,1,0.6,creator:cindy_sherman | deck:still_role | output:dossier | structure:sequence_potential | suit:skin | theme:performance | ui:timestamp_overlay,cards/markdown/cindy_sherman__untitled_role.md,pack,artist_cases_pack_v1,02_CindySherman_UNTITLED_ROLE.md
vice_early_era__access_all_areas_zine,VICE early-era,VICE early-era,ACCESS-ALL-AREAS ZINE,直闯现场小报,skin,皮肤,zine_spread,小报跨页,1,0.75,creator:vice_early_era | deck:zine_spread | origin:photo | output:dossier | quality:compressed | suit:skin | theme:institution | ui:watermark,cards/markdown/vice_early_era__access_all_areas_zine.md,pack,creator_cases_pack_v5,01_VICE_early_era.md
